13508,10,16,0,0,2,1,3,734333,4,0,1,737984,3,2,3,2035,1501,1
13513,9,18,0,0,2,0,3,725940,2,0,1,740539,29,8,40,2037,155,4
13514,9,18,0,0,2,0,3,726867,2,0,1,737817,29,8,40,2037,155,4
13515,17,18,0,0,2,0,3,725940,16,0,1,740539,29,8,40,2037,155,4
13520,0,7,0,0,2,0,3,729481,2,0,1,740431,48,0,185,2039,405,4
13521,0,7,0,0,2,0,3,728457,4,0,1,739431,48,0,185,2039,405,4
13522,0,7,0,0,2,0,3,728480,4,0,1,739431,48,0,185,2039,405,4
13523,0,7,0,0,2,0,3,728914,4,0,1,739901,48,0,185,2039,405,4
13524,17,8,0,0,4,0,1,730855,14,0,1,737680,9,6,10,2040,1504,4
13526,17,3,0,0,0,0,3,730858,0,0,1,741815,1,0,294,2041,1505,4
13527,17,3,0,0,0,0,3,733201,0,0,1,744189,1,0,294,2041,1505,4
13528,7,8,0,0,4,0,3,734060,3,0,1,735975,1,0,294,2042,1505,4
13529,7,8,0,0,4,0,3,734317,3,0,1,736143,1,0,294,2042,1505,4
13530,7,8,0,0,4,0,3,734726,3,0,1,736572,1,0,294,2042,1505,4
13531,7,8,0,0,4,0,3,734769,3,0,1,735900,1,0,294,2042,1505,4
13532,7,8,0,0,4,0,3,734914,3,0,1,736739,1,0,294,2042,1505,4
13533,7,8,0,0,4,0,3,735094,3,0,1,736189,1,0,294,2042,1505,4
13534,7,8,0,0,4,0,3,735152,3,0,1,736977,1,0,294,2042,1505,4
13535,7,8,0,0,4,0,3,735227,3,0,1,736322,1,0,294,2042,1505,4
13536,7,8,0,0,4,0,3,734726,3,0,1,736572,1,0,294,2042,1505,4
13537,7,8,0,0,4,0,3,734769,3,0,1,735900,1,0,294,2042,1505,4
13538,7,8,0,0,4,0,3,734914,3,0,1,736739,1,0,294,2042,1505,4
13539,7,8,0,0,4,0,3,735094,3,0,1,736189,1,0,294,2042,1505,4
13540,7,8,0,0,4,0,3,735152,3,0,1,736977,1,0,294,2042,1505,4
13541,17,5,0,0,8,0,3,735173,9,0,1,746242,17,1,123,2043,1506,4
13542,9,10,0,0,2,0,3,730859,4,0,1,738151,20,7,227,2044,837,4
13544,9,18,0,0,2,0,3,729010,2,0,1,739960,29,8,40,2046,155,4
13545,3,11,0,0,2,0,3,733747,4,0,1,735824,26,8,288,2047,1508,4
13546,17,17,0,0,8,0,3,735216,9,0,1,736752,17,1,177,2048,1509,4
13547,17,23,0,0,8,0,3,735216,20,0,1,738212,17,1,177,2048,1509,4
13548,0,7,0,0,2,0,3,733969,2,0,1,737619,3,2,3,2049,1510,20
13549,0,7,0,0,2,0,3,733969,2,0,1,744919,3,2,3,2049,1510,20
13550,0,7,0,0,2,0,3,734289,2,0,1,737939,3,2,3,2049,1510,20
13551,0,7,0,0,2,0,3,732642,4,0,1,736310,55,4,314,2050,1511,4
13552,0,7,0,0,2,0,3,733507,4,0,1,737162,55,4,314,2050,1511,4
13553,0,7,0,0,2,1,3,734180,4,0,1,737831,55,4,314,2050,1511,4
13554,0,7,0,0,2,0,3,734353,4,0,1,736175,55,4,314,2050,1511,4
13555,0,7,0,0,2,1,3,735068,4,0,1,736905,55,4,314,2050,1511,4
13556,0,7,0,0,2,1,3,735068,4,0,1,738730,55,4,314,2050,1511,4
13557,0,1,0,0,2,0,3,733923,4,0,1,737695,4,3,4,2051,1512,4
13558,0,1,0,0,2,0,3,734192,4,0,1,738577,4,3,4,2051,1512,4
13559,0,1,0,0,2,1,3,735179,4,0,1,739126,4,3,4,2051,1512,4
13560,9,7,0,0,2,0,3,734493,2,0,1,738014,8,2,82,2052,1513,4
13561,10,-100,0,0,2,1,3,735222,4,0,1,737056,10,0,280,2053,1514,4
13562,14,14,0,0,2,1,3,734704,2,0,1,737254,26,8,221,2054,1515,4
13563,14,14,0,0,2,1,3,735139,2,0,1,737711,26,8,221,2054,1515,4
13564,9,4,0,0,2,1,3,733811,2,0,1,737452,20,7,29,1185,885,4
13565,9,4,0,0,2,0,3,735237,2,0,1,735992,20,7,29,1185,885,4
13566,9,4,0,0,2,0,3,735332,2,0,1,736084,20,7,29,1185,885,4
13567,9,4,0,0,2,1,3,734537,2,0,1,738196,20,7,29,1185,885,4
13568,9,4,0,0,2,1,3,734815,2,0,1,736828,20,7,29,1185,885,4
13569,9,4,0,0,2,1,3,734902,2,0,1,736828,20,7,29,1185,885,4
